,Method,Size,Iteration,A,Metric
1,EM,2x2,1,"[[0.76819478 0.04487552]
 [0.10976612 0.79628318]]",0.26885705935011434
3,EM,2x2,5,"[[ 0.80833592 -0.04283256]
 [ 0.00979474  0.85776581]]",0.20018154237153168
5,EM,2x2,10,"[[ 0.80874314 -0.04279524]
 [ 0.00912072  0.85783468]]",0.20005276601983907
7,EM,2x2,20,"[[ 0.80874507 -0.04279486]
 [ 0.00911833  0.85783475]]",0.20005201290130126
9,EM,3x3,1,"[[0.76754319 0.13509137 0.07032855]
 [0.0988578  0.74097204 0.08048972]
 [0.10412671 0.14201966 0.77808052]]",0.5635158393864372
11,EM,3x3,5,"[[ 0.79351134 -0.01922834 -0.03148605]
 [-0.04339947  0.80930366 -0.01196527]
 [-0.01683402  0.06451572  0.79814466]]",0.3759416146286467
13,EM,3x3,10,"[[ 0.79274047 -0.02285378 -0.0330986 ]
 [-0.04375499  0.81086877 -0.0116504 ]
 [-0.01788904  0.06422373  0.79821767]]",0.37484117300667075
15,EM,3x3,20,"[[ 0.79271082 -0.02292449 -0.03312717]
 [-0.04374364  0.81089605 -0.01162651]
 [-0.0178972   0.0642171   0.79822164]]",0.3748208670739546
17,EM,4x4,1,"[[ 0.73529164 -0.02498937  0.06734593  0.04163654]
 [ 0.08004237  0.76452866  0.10873082  0.06763304]
 [ 0.12704466  0.10624251  0.64264863  0.12399651]
 [-0.05923077  0.00701421  0.0542775   0.62947018]]",0.9847979624218726
19,EM,4x4,5,"[[ 0.76101979 -0.02324742 -0.05606453 -0.01100602]
 [-0.01097995  0.77675071 -0.00282036 -0.04560024]
 [-0.02774157  0.05841839  0.70177276 -0.01966239]
 [-0.03923089 -0.03590856 -0.04510986  0.72103359]]",0.5817383709514836
21,EM,4x4,10,"[[ 0.7601029  -0.02100911 -0.0551585  -0.00860098]
 [-0.01085427  0.77915034 -0.0014587  -0.04856892]
 [-0.02735766  0.0611915   0.70604429 -0.02305545]
 [-0.0407507  -0.03567772 -0.0485197   0.71987852]]",0.5802896802581772
23,EM,4x4,20,"[[ 0.76014871 -0.02078614 -0.05486742 -0.00826121]
 [-0.01073025  0.77930137 -0.00131259 -0.04878393]
 [-0.02712696  0.06153491  0.70639847 -0.02319313]
 [-0.04106098 -0.03567514 -0.04881729  0.71969746]]",0.580196433979514
0,Gradient,2x2,1,"[[0.8941758  0.16180971]
 [0.04896166 0.8304363 ]]",0.634869341008906
2,Gradient,2x2,5,"[[0.83230011 0.03437673]
 [0.05373346 0.79805749]]",0.2305253154124746
4,Gradient,2x2,10,"[[ 0.83812334 -0.00127024]
 [ 0.04565367  0.81945158]]",0.2354101179939101
6,Gradient,2x2,20,"[[ 0.83745362 -0.00151326]
 [ 0.04792731  0.81496198]]",0.22963407366021094
8,Gradient,3x3,1,"[[ 0.86870057 -0.12453429  0.10086676]
 [ 0.15890995  1.34166091  0.13259776]
 [ 0.18701107 -0.18994936  1.14249335]]",1.4637897079689308
10,Gradient,3x3,5,"[[ 0.76664216 -0.05248765  0.00985229]
 [ 0.09557775  0.9374482   0.1362639 ]
 [-0.04147897 -0.05134975  0.81988587]]",0.6075644847870451
12,Gradient,3x3,10,"[[ 0.7307861  -0.03343828  0.08848219]
 [ 0.0205122   0.91696403 -0.01122131]
 [-0.07508165 -0.05638808  0.97554747]]",0.6696295192299989
14,Gradient,3x3,20,"[[ 0.7801433   0.01761754  0.02991209]
 [-0.05256807  1.05313561 -0.09256721]
 [-0.10332449  0.08919528  0.85316036]]",0.6984662293345401
16,Gradient,4x4,1,"[[ 0.94571668  0.09566812  0.25173623  0.25528986]
 [-0.00586312  0.9449242   0.2143103   0.23529578]
 [ 0.23551809  0.16599838  1.15745704  0.18209088]
 [ 0.44653847  0.34855686  0.09328081  0.93757222]]",1.6804657784972914
18,Gradient,4x4,5,"[[ 0.6728205   0.05312674  0.02426421  0.12038296]
 [ 0.01260511  0.74881863  0.0912712   0.0539927 ]
 [ 0.09299528 -0.00465154  0.87455244  0.06467757]
 [ 0.20817018  0.16122801  0.02538025  0.75272193]]",0.7688587406899158
20,Gradient,4x4,10,"[[ 0.7261852   0.01751569 -0.05392035  0.10673403]
 [ 0.06303441  0.78075725  0.1126798   0.01155619]
 [ 0.07361604 -0.04379584  0.82969762  0.02397673]
 [ 0.12364278  0.05965539  0.01908401  0.7050569 ]]",0.7656835786329169
22,Gradient,4x4,20,"[[ 7.09518842e-01  3.50175118e-02 -7.54485301e-02  1.02728086e-01]
 [ 3.48452590e-02  7.98933376e-01  6.42038074e-02 -1.77927915e-02]
 [ 1.28355001e-01 -7.21265172e-02  8.33172663e-01 -2.16277105e-04]
 [ 1.41816278e-01  7.11722717e-03  1.07938159e-02  6.95349075e-01]]",0.803563877885902
